"Timestamp","SG010-CM06002 Purified (L)","SG010-CM06006 Basement (L)","SG010-CM06001 Admin (L)","SG010-CM06008 Logistics (L)","SG010-CM06009 BB & Tab GF (L)","SG080-FM06001 QC Lab 2 & SBP (L)","SG080-FM06002 Bin Washer (L)","SG010-CM06005 Packaging (L)","SG010-CM06010 Tab L3 (TCW01/02) (L)"
"2025-08-21 13:30:00",300,280,270,70,1150,0,0,0,0
"2025-08-21 13:45:00",730,680,350,10,1210,0,0,0,0
"2025-08-21 14:00:00",390,350,330,40,180,0,0,10,0
"2025-08-21 14:15:00",390,360,280,20,30,0,0,0,0
"2025-08-21 14:30:00",380,350,330,40,0,0,0,0,0
"2025-08-21 14:45:00",390,350,110,0,10,0,0,10,0
"2025-08-21 15:00:00",380,350,50,40,10,0,0,0,0
"2025-08-21 15:15:00",0,0,190,20,40,0,0,0,0
"2025-08-21 15:30:00",190,170,40,10,0,0,0,10,0
"2025-08-21 15:45:00",190,180,20,30,10,0,0,0,0
"2025-08-21 16:00:00",0,0,120,570,0,0,0,0,0
"2025-08-21 16:15:00",350,320,80,730,20,0,0,10,0
"2025-08-21 16:30:00",0,0,30,260,20,0,0,0,0
"2025-08-21 16:45:00",0,0,70,10,10,0,0,0,0
"2025-08-21 17:00:00",0,0,20,10,0,0,0,10,0
"2025-08-21 17:15:00",180,170,30,30,10,0,0,0,0
"2025-08-21 17:30:00",170,150,20,20,0,0,0,0,0
"2025-08-21 17:45:00",0,0,40,10,0,0,0,0,0
"2025-08-21 18:00:00",0,0,10,0,0,0,0,0,0
"2025-08-21 18:15:00",0,0,0,0,0,0,0,0,0
"2025-08-21 18:30:00",360,330,0,0,60,0,0,0,0
"2025-08-21 18:45:00",0,0,60,10,140,0,0,0,0
"2025-08-21 19:00:00",0,0,10,10,20,0,0,0,0
"2025-08-21 19:15:00",0,0,40,10,60,0,0,0,0
"2025-08-21 19:30:00",200,180,0,340,10,0,180,0,0
"2025-08-21 19:45:00",430,400,0,670,10,0,130,0,0
