"Timestamp","SG010-CM06002 Purified (L)","SG010-CM06006 Basement (L)","SG010-CM06001 Admin (L)","SG010-CM06008 Logistics (L)","SG010-CM06009 BB & Tab GF (L)","SG080-FM06001 QC Lab 2 & SBP (L)","SG080-FM06002 Bin Washer (L)","SG010-CM06005 Packaging (L)","SG010-CM06010 Tab L3 (TCW01/02) (L)"
"2025-08-21 10:00:00",0,0,510,140,660,0,0,10,0
"2025-08-21 10:15:00",390,360,490,20,760,0,0,0,0
"2025-08-21 10:30:00",0,0,300,20,750,0,0,0,0
"2025-08-21 10:45:00",0,0,270,20,630,0,0,0,0
"2025-08-21 11:00:00",390,360,250,50,280,0,0,10,0
"2025-08-21 11:15:00",380,350,150,30,150,0,0,0,0
"2025-08-21 11:30:00",390,360,440,230,210,0,0,10,0
"2025-08-21 11:45:00",390,350,240,700,150,0,0,0,0
"2025-08-21 12:00:00",390,360,450,730,200,0,0,0,0
"2025-08-21 12:15:00",0,0,340,200,1090,0,0,0,0
"2025-08-21 12:30:00",0,0,370,30,670,0,0,0,0
"2025-08-21 12:45:00",370,340,350,30,10,0,0,10,0
"2025-08-21 13:00:00",390,350,450,20,30,0,0,0,0
"2025-08-21 13:15:00",470,430,390,30,540,0,0,10,0
"2025-08-21 13:30:00",300,280,270,70,1150,0,0,0,0
"2025-08-21 13:45:00",730,680,350,10,1210,0,0,0,0
"2025-08-21 14:00:00",390,350,330,40,180,0,0,10,0
"2025-08-21 14:15:00",390,360,280,20,30,0,0,0,0
"2025-08-21 14:30:00",380,350,330,40,0,0,0,0,0
"2025-08-21 14:45:00",390,350,110,0,10,0,0,10,0
"2025-08-21 15:00:00",380,350,50,40,10,0,0,0,0
"2025-08-21 15:15:00",0,0,190,20,40,0,0,0,0
"2025-08-21 15:30:00",190,170,40,10,0,0,0,10,0
"2025-08-21 15:45:00",190,180,20,30,10,0,0,0,0
"2025-08-21 16:00:00",0,0,120,570,0,0,0,0,0
"2025-08-21 16:15:00",350,320,80,730,20,0,0,10,0
"2025-08-21 16:30:00",0,0,30,260,20,0,0,0,0
